pack_id,pack_source_row_id,brand,pack_name,pack_price,component_product_id,component_source_row_id,component_family,contains_oven,contains_cooktop,contains_rangehood,contains_dishwasher,contains_microwave,contains_refrigerator,contains_freestanding_cooker,contains_other_appliance_component,unresolved_component_families
pack:appliances:euromaid:euromaid-pack-600mm-electric-cooktop-pack-oven-electric-cooktop-slideout-rangehood-dishwasher,1184,Euromaid,EUROMAID PACK - 600MM ELECTRIC COOKTOP PACK - OVEN / ELECTRIC COOKTOP / SLIDEOUT RANGEHOOD / DISHWASHER,1684,product:appliances:ovens:euromaid:eo605dtb,1180,ovens,true,true,true,true,false,false,false,false,
pack:appliances:euromaid:euromaid-pack-600mm-electric-cooktop-pack-oven-electric-cooktop-slideout-rangehood-dishwasher,1184,Euromaid,EUROMAID PACK - 600MM ELECTRIC COOKTOP PACK - OVEN / ELECTRIC COOKTOP / SLIDEOUT RANGEHOOD / DISHWASHER,1684,product:appliances:cooktops:euromaid:kcs4,1181,cooktops,true,true,true,true,false,false,false,false,
pack:appliances:euromaid:euromaid-pack-600mm-electric-cooktop-pack-oven-electric-cooktop-slideout-rangehood-dishwasher,1184,Euromaid,EUROMAID PACK - 600MM ELECTRIC COOKTOP PACK - OVEN / ELECTRIC COOKTOP / SLIDEOUT RANGEHOOD / DISHWASHER,1684,product:appliances:rangehoods:euromaid:rs6s,1182,rangehoods,true,true,true,true,false,false,false,false,
pack:appliances:euromaid:euromaid-pack-600mm-electric-cooktop-pack-oven-electric-cooktop-slideout-rangehood-dishwasher,1184,Euromaid,EUROMAID PACK - 600MM ELECTRIC COOKTOP PACK - OVEN / ELECTRIC COOKTOP / SLIDEOUT RANGEHOOD / DISHWASHER,1684,product:appliances:dishwashers:euromaid:edw14s,1183,dishwashers,true,true,true,true,false,false,false,false,
pack:appliances:euromaid:euromaid-pack-600mm-electric-cooktop-pack-oven-electric-cooktop-slideout-rangehood-dishwasher,1184,Euromaid,EUROMAID PACK - 600MM ELECTRIC COOKTOP PACK - OVEN / ELECTRIC COOKTOP / SLIDEOUT RANGEHOOD / DISHWASHER,1684,product:appliances:ovens:euromaid:eo605dtb,1185,ovens,true,true,true,true,false,false,false,false,
pack:appliances:euromaid:euromaid-pack-600mm-electric-cooktop-pack-oven-electric-cooktop-slideout-rangehood-dishwasher,1184,Euromaid,EUROMAID PACK - 600MM ELECTRIC COOKTOP PACK - OVEN / ELECTRIC COOKTOP / SLIDEOUT RANGEHOOD / DISHWASHER,1684,product:appliances:cooktops:euromaid:wk60s,1186,cooktops,true,true,true,true,false,false,false,false,
pack:appliances:euromaid:euromaid-pack-600mm-electric-cooktop-pack-oven-electric-cooktop-slideout-rangehood-dishwasher,1184,Euromaid,EUROMAID PACK - 600MM ELECTRIC COOKTOP PACK - OVEN / ELECTRIC COOKTOP / SLIDEOUT RANGEHOOD / DISHWASHER,1684,product:appliances:rangehoods:euromaid:rs6s,1187,rangehoods,true,true,true,true,false,false,false,false,
pack:appliances:euromaid:euromaid-pack-600mm-electric-cooktop-pack-oven-electric-cooktop-slideout-rangehood-dishwasher,1184,Euromaid,EUROMAID PACK - 600MM ELECTRIC COOKTOP PACK - OVEN / ELECTRIC COOKTOP / SLIDEOUT RANGEHOOD / DISHWASHER,1684,product:appliances:dishwashers:euromaid:edw14s,1188,dishwashers,true,true,true,true,false,false,false,false,
pack:appliances:euromaid:euromaid-pack-600mm-gas-cooktop-pack-oven-gas-cooktop-slideout-rangehood-dishwasher,1189,Euromaid,EUROMAID PACK - 600MM GAS COOKTOP PACK - OVEN / GAS COOKTOP / SLIDEOUT RANGEHOOD / DISHWASHER,1598,product:appliances:rangehoods:euromaid:cpt6s,1190,rangehoods,true,true,true,true,false,false,false,false,
pack:appliances:euromaid:euromaid-pack-600mm-gas-cooktop-pack-oven-gas-cooktop-slideout-rangehood-dishwasher,1189,Euromaid,EUROMAID PACK - 600MM GAS COOKTOP PACK - OVEN / GAS COOKTOP / SLIDEOUT RANGEHOOD / DISHWASHER,1598,product:appliances:rangehoods:euromaid:cs60s,1191,rangehoods,true,true,true,true,false,false,false,false,
pack:appliances:euromaid:euromaid-pack-600mm-gas-cooktop-pack-oven-gas-cooktop-slideout-rangehood-dishwasher,1189,Euromaid,EUROMAID PACK - 600MM GAS COOKTOP PACK - OVEN / GAS COOKTOP / SLIDEOUT RANGEHOOD / DISHWASHER,1598,product:appliances:ovens:euromaid:eo916astb,1192,ovens,true,true,true,true,false,false,false,false,
pack:appliances:euromaid:euromaid-pack-600mm-gas-cooktop-pack-oven-gas-cooktop-slideout-rangehood-dishwasher,1189,Euromaid,EUROMAID PACK - 600MM GAS COOKTOP PACK - OVEN / GAS COOKTOP / SLIDEOUT RANGEHOOD / DISHWASHER,1598,product:appliances:cooktops:euromaid:ecck900,1193,cooktops,true,true,true,true,false,false,false,false,
pack:appliances:euromaid:euromaid-pack-600mm-gas-cooktop-pack-oven-gas-cooktop-slideout-rangehood-dishwasher,1189,Euromaid,EUROMAID PACK - 600MM GAS COOKTOP PACK - OVEN / GAS COOKTOP / SLIDEOUT RANGEHOOD / DISHWASHER,1598,product:appliances:rangehoods:euromaid:rs9s,1194,rangehoods,true,true,true,true,false,false,false,false,
pack:appliances:euromaid:euromaid-pack-600mm-gas-cooktop-pack-oven-gas-cooktop-slideout-rangehood-dishwasher,1189,Euromaid,EUROMAID PACK - 600MM GAS COOKTOP PACK - OVEN / GAS COOKTOP / SLIDEOUT RANGEHOOD / DISHWASHER,1598,product:appliances:dishwashers:euromaid:edw14s,1195,dishwashers,true,true,true,true,false,false,false,false,
pack:appliances:euromaid:euromaid-pack-900mm-built-in-electric-cooktop-pack-900-oven-electric-cooktop-900-slideout-rangehood-dishwasher,1196,Euromaid,EUROMAID PACK - 900MM BUILT-IN ELECTRIC COOKTOP PACK - 900 OVEN / ELECTRIC COOKTOP / 900 SLIDEOUT RANGEHOOD / DISHWASHER,3096,product:appliances:ovens:euromaid:eo916astb,1197,ovens,true,true,true,true,false,false,false,false,
pack:appliances:euromaid:euromaid-pack-900mm-built-in-electric-cooktop-pack-900-oven-electric-cooktop-900-slideout-rangehood-dishwasher,1196,Euromaid,EUROMAID PACK - 900MM BUILT-IN ELECTRIC COOKTOP PACK - 900 OVEN / ELECTRIC COOKTOP / 900 SLIDEOUT RANGEHOOD / DISHWASHER,3096,product:appliances:cooktops:euromaid:gc90s,1198,cooktops,true,true,true,true,false,false,false,false,
